Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
Brats18_CBICA_AAM_1,0.92951,0.89103,0.93312,0.98168,0.89635,0.97773,0.99853,0.98947,0.99855,1.41421,4.0,1.41421
Brats18_CBICA_ABT_1,0.87252,0.91759,0.95321,0.94155,0.95742,0.94019,0.99908,0.99796,0.99977,1.41421,2.44949,1.0
Brats18_CBICA_ALA_1,0.87429,0.88961,0.92871,0.88246,0.91595,0.91252,0.99915,0.99464,0.99959,1.41421,3.0,1.41421
Brats18_CBICA_ALT_1,0.37862,0.88698,0.92626,0.92049,0.93748,0.95135,0.96203,0.98023,0.99313,4.24264,4.58258,4.3589
Brats18_CBICA_ALV_1,0.72799,0.79549,0.34209,0.92481,0.93267,0.96193,0.99939,0.98518,0.99504,3.74166,27.48545,33.13608
Brats18_CBICA_ALZ_1,0.81175,0.92061,0.94119,0.77685,0.98581,0.91939,0.99851,0.98704,0.99931,1.73205,3.16228,2.82843
Brats18_CBICA_AMF_1,0.87796,0.90467,0.95911,0.90067,0.96742,0.95412,0.99646,0.98559,0.99852,1.41421,2.23607,2.82843
Brats18_CBICA_AMU_1,0.81177,0.92617,0.94526,0.99038,0.9316,0.97487,0.99019,0.98895,0.99666,2.23607,2.82843,2.23607
Brats18_CBICA_ANK_1,0.79942,0.90469,0.87424,0.88493,0.92036,0.91988,0.99928,0.99518,0.9994,1.41421,3.0,3.09737
Brats18_CBICA_APM_1,0.87817,0.8935,0.86499,0.83394,0.83508,0.78188,0.99822,0.9978,0.99893,1.41421,4.89898,5.0
Brats18_CBICA_AQE_1,0.88328,0.64606,0.91676,0.92211,0.6971,0.92017,0.99962,0.99543,0.99974,1.0,62.77818,3.0
Brats18_CBICA_ARR_1,0.81628,0.87212,0.84542,0.81536,0.89351,0.90398,0.99929,0.99529,0.99842,1.41421,4.12311,4.24264
Brats18_CBICA_ATW_1,0.78156,0.80119,0.29547,0.94861,0.8448,0.84162,0.99893,0.98085,0.98433,2.23607,5.19615,30.16621
Brats18_CBICA_AUC_1,0.48247,0.75542,0.81383,0.55762,0.7764,0.70245,0.99201,0.99128,0.99929,4.58258,59.87153,5.0
Brats18_CBICA_AUE_1,0.88167,0.86849,0.93646,0.93784,0.94143,0.97199,0.9941,0.96993,0.99479,1.41421,4.47214,3.74166
Brats18_CBICA_AZA_1,0.61948,0.68721,0.7676,0.79164,0.56631,0.82718,0.99654,0.99633,0.99631,9.48683,13.92839,4.12311
Brats18_CBICA_BHF_1,0.88857,0.9065,0.88589,0.88124,0.91236,0.81543,0.99889,0.99576,0.99959,1.73205,4.12311,4.0
Brats18_CBICA_BHN_1,0.86777,0.89125,0.94839,0.88464,0.86263,0.9272,0.99765,0.99597,0.99929,1.41421,4.47214,3.0
Brats18_CBICA_BKY_1,0.78464,0.89921,0.92861,0.95954,0.90745,0.9369,0.99368,0.99091,0.99656,1.41421,4.12311,3.16228
Brats18_CBICA_BLI_1,0.87819,0.90795,0.926,0.86024,0.86392,0.87742,0.99653,0.99671,0.99905,1.41421,5.89054,4.58258
Brats18_CBICA_BLK_1,0.87159,0.84611,0.88831,0.8272,0.92777,0.84951,0.99924,0.98977,0.99927,2.44949,4.12311,3.16228
Brats18_MDA_1012_1,0.86731,0.85177,0.92431,0.88046,0.93252,0.91728,0.99757,0.98871,0.99854,1.73205,32.80244,2.44949
Brats18_MDA_1015_1,0.84077,0.89326,0.90993,0.82858,0.95735,0.91894,0.99808,0.98709,0.99817,2.23607,7.28011,2.82843
Brats18_MDA_1081_1,0.8084,0.72954,0.85726,0.89085,0.91275,0.9408,0.99138,0.97291,0.99133,3.16228,69.03043,5.0
Brats18_MDA_907_1,0.79928,0.90099,0.8924,0.86796,0.91417,0.94653,0.99599,0.99129,0.99622,3.0,5.38516,3.16228
Brats18_MDA_922_1,0.87755,0.92149,0.95823,0.9262,0.90277,0.94204,0.9974,0.99418,0.99953,2.23607,4.12311,2.23607
Brats18_TCIA02_230_1,0.94412,0.91916,0.94788,0.95905,0.94542,0.93195,0.9968,0.98572,0.99794,1.0,18.05547,3.74166
Brats18_TCIA02_400_1,0.94836,0.76837,0.94656,0.97472,0.98579,0.98118,0.99919,0.97748,0.99903,1.0,65.91661,1.41421
Brats18_TCIA03_216_1,0.84657,0.96281,0.92313,0.90308,0.95514,0.87741,0.99848,0.99846,0.99954,1.0,7.81025,3.0
Brats18_TCIA03_288_1,0.90073,0.94703,0.94632,0.88836,0.92717,0.92078,0.99838,0.99753,0.99937,1.41421,3.60555,3.31662
Brats18_TCIA03_313_1,0.9022,0.93324,0.94452,0.86952,0.93899,0.93392,0.99666,0.99415,0.99719,3.0,7.81025,5.09902
Brats18_TCIA03_604_1,0.92603,0.94327,0.95218,0.91462,0.93555,0.94166,0.99879,0.99782,0.99909,1.41421,6.40312,2.23607
Brats18_TCIA04_212_1,0.91052,0.91095,0.93666,0.87873,0.9653,0.91187,0.99954,0.9949,0.99965,1.41421,51.95027,1.41421
Brats18_TCIA04_253_1,0.88157,0.73282,0.83739,0.85775,0.90105,0.75246,0.99832,0.9716,0.99874,2.23607,59.00297,4.89898
Brats18_TCIA07_600_1,0.92507,0.93346,0.94343,0.88868,0.96294,0.91781,0.99876,0.9921,0.99868,1.73205,8.3666,4.69042
Brats18_TCIA07_601_1,0.89879,0.84275,0.77226,0.88727,0.93563,0.66027,0.9982,0.97944,0.99817,2.23607,7.48331,46.23851
Brats18_TCIA07_602_1,0.88975,0.85109,0.92124,0.87791,0.89764,0.87827,0.99425,0.97897,0.99745,2.23607,38.07033,5.74456
Brats18_TCIA09_248_1,0.0,0.87528,0.89171,,0.98188,0.94278,1.0,0.97956,0.99335,,7.2111,4.3589
Brats18_TCIA10_195_1,0.0,0.89869,0.84928,,0.98266,0.84418,0.99994,0.96399,0.98778,,14.62874,7.07107
Brats18_TCIA10_311_1,0.64277,0.62214,0.64743,0.57743,0.96219,0.54187,0.99974,0.9926,0.99981,5.07922,71.24851,5.6364
Brats18_TCIA10_609_1,0.0,0.93535,0.93869,0.0,0.96748,0.93077,0.99997,0.99163,0.99765,53.71732,26.03843,2.23607
Brats18_TCIA11_612_1,0.0,0.88742,0.73583,0.0,0.96048,0.85426,1.0,0.99625,0.99614,,90.27181,6.40312
Brats18_TCIA12_613_1,1.0,0.64529,0.0,1.0,0.69598,0.0,1.0,0.99886,1.0,,106.94391,
Brats18_TCIA13_610_1,0.87377,0.91126,0.70343,0.79418,0.95901,0.55084,0.99977,0.9894,0.99966,4.0,5.09902,9.16515
Brats18_TCIA13_611_1,0.76785,0.71059,0.71273,0.65776,0.82183,0.63341,0.99928,0.97617,0.99795,8.31862,20.80865,19.86705
Brats18_TCIA13_617_1,0.06834,0.79578,0.8516,0.0406,0.72082,0.84381,0.99987,0.99094,0.99188,34.87907,10.05484,5.38516
Brats18_TCIA13_636_1,0.77235,0.93785,0.58286,0.90066,0.9532,0.41557,0.99337,0.98662,0.99885,5.09902,7.68115,18.81489
Brats18_TCIA13_638_1,0.18102,0.89334,0.70002,0.10767,0.83154,0.54416,0.99904,0.99177,0.99719,22.58318,13.41641,15.74802
Brats18_TCIA13_646_1,1.0,0.91465,0.0,1.0,0.98623,0.0,1.0,0.99715,1.0,,2.23607,
Brats18_TCIA13_652_1,0.0,0.7917,0.07668,0.0,0.98468,0.44249,1.0,0.98341,0.99141,,82.10846,54.92904
Brats18_UAB_3446_1,0.91664,0.93973,0.68426,0.90422,0.93601,0.52657,0.99948,0.99507,0.9998,1.41421,5.38516,10.01496
Brats18_UAB_3448_1,0.90802,0.90101,0.92044,0.96961,0.95776,0.92032,0.99863,0.99581,0.9992,1.73205,3.60555,2.23607
Brats18_UAB_3449_1,0.86189,0.84242,0.56625,0.86365,0.97854,0.84495,0.99929,0.9798,0.99182,2.0,9.21954,19.79646
Brats18_UAB_3454_1,0.80553,0.7967,0.69918,0.9292,0.97288,0.61216,0.99619,0.9448,0.99681,76.12227,68.30081,75.84919
Brats18_UAB_3455_1,0.89606,0.88165,0.89452,0.97885,0.94296,0.84363,0.9989,0.98892,0.99953,1.0,3.60555,5.0
Brats18_UAB_3456_1,0.91325,0.79932,0.83359,0.92965,0.97688,0.75759,0.99924,0.9819,0.99939,1.41421,63.85139,5.09902
Brats18_UAB_3490_1,0.80329,0.89839,0.91183,0.98303,0.95657,0.94881,0.99427,0.98085,0.99741,2.23607,5.38516,3.74166
Brats18_UAB_3498_1,0.83583,0.81769,0.62288,0.95884,0.95225,0.46208,0.99735,0.97284,0.99947,2.23607,7.0,48.30683
Brats18_UAB_3499_1,0.66888,0.77704,0.46612,0.567,0.93694,0.31317,0.99941,0.98213,0.99952,3.0,35.28527,89.73238
Brats18_WashU_S036_1,0.8053,0.7058,0.89034,0.92866,0.86293,0.8914,0.99003,0.95258,0.9956,3.16228,61.62792,5.0
Brats18_WashU_S037_1,0.82877,0.68072,0.86122,0.74768,0.95124,0.82187,0.99953,0.94175,0.99904,13.56834,82.42572,18.66271
Brats18_WashU_S041_1,0.91023,0.81444,0.94599,0.95482,0.97454,0.97882,0.99827,0.9697,0.99846,1.0,57.73214,6.7082
Brats18_WashU_W033_1,0.87955,0.88471,0.95846,0.8977,0.97467,0.95634,0.99756,0.97678,0.99882,1.41421,6.7082,3.31662
Brats18_WashU_W038_1,0.86148,0.91144,0.95661,0.8055,0.9681,0.96272,0.99962,0.9956,0.99958,1.41421,6.40312,1.41421
Brats18_WashU_W047_1,0.86549,0.65859,0.69886,0.88988,0.92559,0.57654,0.9988,0.95009,0.99872,1.41421,28.6007,15.52739
Brats18_WashU_W053_1,0.59818,0.06129,0.3795,0.87101,0.94989,0.89211,0.99302,0.41637,0.97215,98.17332,88.80315,98.1318
Mean,0.75074,0.83703,0.79417,0.81211,0.91621,0.80446,0.99721,0.97676,0.99714,7.08372,24.47769,12.20496
StdDev,0.27028,0.12994,0.22961,0.2481,0.07824,0.21603,0.00505,0.07122,0.00435,17.30046,28.77593,20.43952
Median,0.86369,0.8872,0.89103,0.88781,0.93721,0.89805,0.9987,0.98918,0.9987,1.86603,7.58223,4.47074
25quantile,0.78233,0.79601,0.71851,0.82823,0.90394,0.76366,0.99669,0.97962,0.9967,1.41421,4.47214,3.0
75quantile,0.88946,0.9102,0.93661,0.92931,0.96176,0.93937,0.99937,0.99515,0.9994,3.16228,37.37406,7.59459
