Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
Brats18_CBICA_AAM_1,0.93124,0.8716,0.9325,0.97846,0.85394,0.97341,0.99862,0.99039,0.99859,1.41421,4.69042,1.41421
Brats18_CBICA_ABT_1,0.87476,0.91577,0.95501,0.94704,0.95745,0.94238,0.99907,0.99789,0.99978,1.41421,2.23607,1.41421
Brats18_CBICA_ALA_1,0.87352,0.88114,0.92709,0.86028,0.91321,0.8943,0.99931,0.99403,0.99973,1.41421,83.03945,1.41421
Brats18_CBICA_ALT_1,0.39916,0.89244,0.9264,0.92235,0.94065,0.94645,0.96517,0.98124,0.99353,4.12311,4.69042,4.58258
Brats18_CBICA_ALV_1,0.73658,0.82973,0.37656,0.92419,0.88741,0.9578,0.99942,0.99095,0.99576,3.60555,18.97367,27.29469
Brats18_CBICA_ALZ_1,0.80796,0.92679,0.94133,0.76321,0.98828,0.91288,0.99863,0.98799,0.99947,1.73205,2.23607,2.82843
Brats18_CBICA_AMF_1,0.87294,0.90463,0.95564,0.87116,0.9566,0.93825,0.99708,0.98668,0.99894,1.41421,2.44949,3.0
Brats18_CBICA_AMU_1,0.81927,0.92805,0.94556,0.9915,0.93216,0.97048,0.99064,0.98942,0.99687,2.23607,3.0,2.23607
Brats18_CBICA_ANK_1,0.80338,0.90622,0.87858,0.86812,0.91119,0.9093,0.99936,0.99579,0.99948,1.41421,3.0,3.78041
Brats18_CBICA_APM_1,0.87386,0.8873,0.85727,0.82057,0.81859,0.76256,0.99844,0.99829,0.99932,1.41421,5.09902,5.09902
Brats18_CBICA_AQE_1,0.84726,0.656,0.89197,0.94955,0.70157,0.9568,0.99932,0.99566,0.99943,1.73205,70.77146,73.10745
Brats18_CBICA_ARR_1,0.78814,0.86324,0.85572,0.74924,0.84302,0.86156,0.99941,0.99666,0.99898,1.41421,4.24264,3.31662
Brats18_CBICA_ATW_1,0.7793,0.78128,0.34629,0.88777,0.74487,0.73192,0.99913,0.98826,0.98986,2.23607,5.38516,30.8707
Brats18_CBICA_AUC_1,0.44073,0.7497,0.76031,0.50023,0.73372,0.62942,0.99184,0.99302,0.99921,6.0,59.88364,7.07107
Brats18_CBICA_AUE_1,0.88455,0.87998,0.94663,0.92924,0.92953,0.9661,0.99465,0.9757,0.99624,1.41421,4.47214,3.74166
Brats18_CBICA_AZA_1,0.62229,0.64855,0.75935,0.78404,0.51127,0.81175,0.99667,0.99707,0.99633,9.0,14.89966,4.24264
Brats18_CBICA_BHF_1,0.89793,0.9112,0.8953,0.90373,0.91982,0.83342,0.99881,0.99582,0.99955,1.41421,3.60555,3.4641
Brats18_CBICA_BHN_1,0.86356,0.8835,0.94412,0.86103,0.8377,0.91113,0.99797,0.99677,0.99952,1.41421,4.58258,3.0
Brats18_CBICA_BKY_1,0.8209,0.88758,0.92673,0.93714,0.89279,0.92601,0.9955,0.99024,0.99692,1.41421,5.0,3.16228
Brats18_CBICA_BLI_1,0.87527,0.88791,0.92071,0.85913,0.86466,0.86523,0.99635,0.99301,0.99923,1.41421,69.75529,7.14143
Brats18_CBICA_BLK_1,0.8789,0.84209,0.89615,0.83397,0.91904,0.85249,0.99931,0.98983,0.99942,2.44949,4.12311,3.0
Brats18_MDA_1012_1,0.8649,0.863,0.92399,0.86897,0.92326,0.90619,0.99772,0.9905,0.9988,1.73205,4.69042,2.82843
Brats18_MDA_1015_1,0.84112,0.90228,0.91705,0.8392,0.96248,0.91317,0.99789,0.98814,0.99858,2.23607,5.19615,3.0
Brats18_MDA_1081_1,0.80974,0.84913,0.8617,0.88836,0.89018,0.93499,0.99158,0.99051,0.99198,3.16228,46.14109,4.58258
Brats18_MDA_907_1,0.79976,0.90823,0.89563,0.86654,0.90167,0.93857,0.99604,0.99365,0.99659,3.0,4.89898,3.0
Brats18_MDA_922_1,0.87264,0.92436,0.95697,0.92041,0.8965,0.93761,0.99734,0.99556,0.99957,2.23607,4.0,2.0
Brats18_TCIA02_230_1,0.94241,0.9372,0.94712,0.95945,0.94225,0.93186,0.99662,0.99124,0.99785,1.41421,9.27362,4.12311
Brats18_TCIA02_400_1,0.94411,0.82481,0.9438,0.97494,0.98714,0.97815,0.99909,0.98422,0.999,1.0,22.82542,1.41421
Brats18_TCIA03_216_1,0.85098,0.96244,0.9151,0.91565,0.96521,0.86935,0.99844,0.99784,0.9994,1.0,7.54983,3.31662
Brats18_TCIA03_288_1,0.89437,0.94299,0.94039,0.87198,0.91038,0.90692,0.9985,0.99837,0.99945,1.73205,3.31662,4.47214
Brats18_TCIA03_313_1,0.89978,0.93804,0.94623,0.86238,0.93403,0.93549,0.99686,0.99542,0.99731,3.16228,7.68115,7.81025
Brats18_TCIA03_604_1,0.91799,0.94165,0.94685,0.88626,0.92291,0.92203,0.99911,0.99831,0.99936,1.41421,6.32456,3.60555
Brats18_TCIA04_212_1,0.9128,0.94642,0.93656,0.88671,0.97085,0.9154,0.99949,0.99733,0.9996,1.41421,8.77496,1.41421
Brats18_TCIA04_253_1,0.8815,0.82055,0.83379,0.86151,0.8896,0.74501,0.99823,0.98581,0.99881,2.23607,35.77709,5.0
Brats18_TCIA07_600_1,0.92343,0.93847,0.93883,0.88947,0.95935,0.91233,0.9986,0.99329,0.99852,1.73205,8.06226,5.38516
Brats18_TCIA07_601_1,0.90657,0.86952,0.77479,0.9127,0.92973,0.66794,0.99792,0.98493,0.99793,2.23607,7.34847,46.08796
Brats18_TCIA07_602_1,0.88308,0.8639,0.9138,0.8543,0.88231,0.86062,0.99515,0.98408,0.99794,2.82843,16.75857,6.16441
Brats18_TCIA09_248_1,0.0,0.92089,0.88832,,0.96573,0.87535,1.0,0.98972,0.9963,,4.23069,3.31662
Brats18_TCIA10_195_1,0.0,0.89568,0.83887,,0.97401,0.83454,0.99993,0.96457,0.98682,,37.22701,8.24621
Brats18_TCIA10_311_1,0.51458,0.74106,0.4905,0.47419,0.94838,0.41737,0.99956,0.996,0.99959,62.06851,67.8126,62.29767
Brats18_TCIA10_609_1,0.0,0.94763,0.94294,0.0,0.94634,0.94033,0.99994,0.99579,0.99757,25.31147,6.40312,2.0
Brats18_TCIA11_612_1,0.0,0.9232,0.66705,0.0,0.93632,0.66941,1.0,0.99831,0.99721,,4.6365,6.48074
Brats18_TCIA12_613_1,1.0,0.61501,0.0,1.0,0.63607,0.0,1.0,0.99893,1.0,,105.89051,
Brats18_TCIA13_610_1,0.87079,0.92437,0.65629,0.78979,0.93701,0.49411,0.99977,0.99343,0.99974,4.12311,4.24264,10.04988
Brats18_TCIA13_611_1,0.53349,0.71322,0.49552,0.38127,0.7044,0.35852,0.99938,0.98686,0.99874,41.70851,24.59675,40.5475
Brats18_TCIA13_617_1,0.06105,0.78069,0.83953,0.0348,0.66855,0.78426,0.99991,0.99559,0.99505,33.53726,9.94987,5.38516
Brats18_TCIA13_636_1,0.77475,0.93917,0.60175,0.90039,0.94226,0.43486,0.99349,0.98918,0.99884,4.47214,7.14143,17.72005
Brats18_TCIA13_638_1,0.14612,0.89449,0.68483,0.08491,0.82912,0.52579,0.99909,0.99325,0.9974,29.69848,10.3923,16.76305
Brats18_TCIA13_646_1,1.0,0.9356,0.0,1.0,0.97958,0.0,1.0,0.99808,1.0,,2.0,61.93222
Brats18_TCIA13_652_1,0.0,0.85718,0.03008,0.0,0.96064,0.1069,1.0,0.99074,0.9949,,65.06919,56.83177
Brats18_UAB_3446_1,0.91636,0.93979,0.67849,0.89516,0.92723,0.51856,0.99956,0.99595,0.99984,1.41421,6.63325,10.34408
Brats18_UAB_3448_1,0.91036,0.90684,0.92019,0.959,0.94961,0.91159,0.99878,0.9964,0.9993,1.41421,3.0,2.23607
Brats18_UAB_3449_1,0.85799,0.85265,0.60026,0.87057,0.96149,0.83877,0.99919,0.98278,0.99314,2.0,8.48528,18.19615
Brats18_UAB_3454_1,0.78937,0.80183,0.6324,0.90722,0.96693,0.59385,0.99606,0.94768,0.99347,87.56483,68.65129,89.384
Brats18_UAB_3455_1,0.89721,0.88962,0.89396,0.972,0.93618,0.83866,0.99896,0.99048,0.99958,1.0,3.16228,5.0
Brats18_UAB_3456_1,0.90957,0.83528,0.83242,0.92965,0.97465,0.7551,0.99918,0.9861,0.9994,2.0,24.41708,5.09902
Brats18_UAB_3490_1,0.80987,0.90463,0.91778,0.9745,0.95517,0.94288,0.99467,0.98267,0.99781,2.23607,4.12311,3.74166
Brats18_UAB_3498_1,0.83604,0.8528,0.61994,0.94958,0.93318,0.4571,0.99746,0.9816,0.99957,2.23607,4.0,43.36819
Brats18_UAB_3499_1,0.67085,0.80135,0.45377,0.55572,0.92857,0.29926,0.99954,0.98536,0.99969,3.16228,30.77986,89.68974
Brats18_WashU_S036_1,0.79903,0.74684,0.87572,0.91955,0.8497,0.90559,0.98991,0.96533,0.99356,3.60555,61.0082,6.16441
Brats18_WashU_S037_1,0.83076,0.79341,0.86752,0.75537,0.94238,0.82241,0.99947,0.97009,0.99918,13.59411,80.143,18.52564
